Account Instance CSV for 2026-05

Account Owner ID,Account Name,Billing Month,Currency Rate,Created Time,Version
mock94ac861669654116bd76e395661b77ff,EMPRESA DEMO S.A.,2026-05,5.55,2026-06-06T12:00:00.000Z,1.4.1

Service Name,Service ID,Instance Name,Instance ID,Plan Name,Plan ID,Region,Consumer ID,Resource Group Name,Resource Group ID,CF Org,Org ID,CF Space,Space ID,Currency,Billable,Usage Metric,Usage Unit,Usage Quantity,Original Cost,Volume Discount,Volume Cost,Cost,Pending,Discount(%),Discount ID,Subscription ID,Non Chargeable,Classic Infrastructure Product ID,Classic Infrastructure Package ID,Created At,Deleted At,Parent Resource Instance ID,Profile,Other Tags,audit,clusterid,environment,namespace,project,provisioner,pv,pvc,reclaimpolicy,storageclass,type
Kubernetes Service,containers-kube,k8s-cluster-prd,crn-mock-1,Standard Gen2,plan-1,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,744,35000,5000,30000,30000,false,0,,,false,,,2026-01-01T00:00:00Z,,,,,,,prd,,app-commerce,,,,,,
Databases for Elasticsearch,db-elastic,es-search-node,crn-mock-2,Standard Gen2,plan-2,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,GIGABYTE_HOURS,Gigabyte Hours,148800,34000,0,34000,34000,false,0,,,false,,,2026-01-15T00:00:00Z,,,,,,,prd,,search-engine,,,,,,
Virtual Server for VPC,is-instance,vsi-backend-01,crn-mock-3,Balanced Tier,plan-3,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,744,15000,1500,13500,13500,false,10,,,false,,,2026-02-01T00:00:00Z,,,,,,,prd,,backend,,,,,,
Virtual Server for VPC,is-instance,vsi-backend-02,crn-mock-4,Balanced Tier,plan-3,us-east,,rg-homolog,rg-id-2,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,744,12000,2000,10000,10000,false,16.6,,,false,,,2026-02-01T00:00:00Z,,,,,,,dev,,backend,,,,,,
Databases for Redis,db-redis,redis-cache-cluster,crn-mock-5,Standard Gen2,plan-4,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,744,6500,200,6300,6300,false,3,,,false,,,2026-03-01T00:00:00Z,,,,,,,prd,,cache,,,,,,
Security and Compliance Center Workload Protection,security-scc,scc-agent-global,crn-mock-6,Graduated Tier,plan-5,us-east,,,rg-security,rg-id-3,,,,,BRL,true,NODE_HOURS,Node Hours,22320,5800,0,5800,5800,false,0,,,false,,,2026-01-01T00:00:00Z,,,,,,,global,,security,,,,,,
Block Storage for VPC,is-volume,vol-db-data,crn-mock-7,General Purpose Gen2,plan-6,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,GIGABYTE_HOURS,Gigabyte Hours,372000,5200,300,4900,4900,false,5.7,,,false,,,2026-01-01T00:00:00Z,,,,,,,prd,,database-storage,,,,,,
Direct Link Connect,direct-link,dx-cloud-hq,crn-mock-8,Standard DL,plan-7,br-sao,,rg-network,rg-id-4,,,,,BRL,true,CONNECTION_HOURS,Connection Hours,744,4800,0,4800,4800,false,0,,,false,,,2025-12-01T00:00:00Z,,,,,,,global,,network,,,,,,
Secrets Manager,secrets-mgr,vault-credentials,crn-mock-9,Standard Tier,plan-8,us-east,,rg-security,rg-id-3,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,744,2500,100,2400,2400,false,4,,,false,,,2026-01-10T00:00:00Z,,,,,,,global,,credentials,,,,,,
DNS Services,dns-svc,dns-zone-public,crn-mock-10,Standard Plan,plan-9,global,,rg-network,rg-id-4,,,,,BRL,true,ZONE_HOURS,Zone Hours,744,2490,0,2490,2490,false,0,,,false,,,2025-11-01T00:00:00Z,,,,,,,global,,network,,,,,,
Client VPN for VPC,vpn-server,vpn-developers,crn-mock-11,Standard Gen2,plan-10,br-sao,,rg-network,rg-id-4,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,744,1000,132,868,868,false,13.2,,,false,,,2026-04-01T00:00:00Z,,,,,,,dev,,remote-access,,,,,,
watsonx.ai,watsonx-ai,watsonx-runtime-v2,crn-mock-12,Enterprise Plan,plan-11,us-south,,rg-ia-dados,rg-id-5,,,,,BRL,true,RESOURCE_HOURS,Resource Hours,744,45000,0,45000,45000,false,0,,,false,,,2026-05-01T00:00:00Z,,,,,,,prd,,llm-agents,,,,,,
--this is the end of report--
