Account Instance CSV for 2026-04

Account Owner ID,Account Name,Billing Month,Currency Rate,Created Time,Version
mock94ac861669654116bd76e395661b77ff,EMPRESA DEMO S.A.,2026-04,5.55,2026-06-06T12:00:00.000Z,1.4.1

Service Name,Service ID,Instance Name,Instance ID,Plan Name,Plan ID,Region,Consumer ID,Resource Group Name,Resource Group ID,CF Org,Org ID,CF Space,Space ID,Currency,Billable,Usage Metric,Usage Unit,Usage Quantity,Original Cost,Volume Discount,Volume Cost,Cost,Pending,Discount(%),Discount ID,Subscription ID,Non Chargeable,Classic Infrastructure Product ID,Classic Infrastructure Package ID,Created At,Deleted At,Parent Resource Instance ID,Profile,Other Tags,audit,clusterid,environment,namespace,project,provisioner,pv,pvc,reclaimpolicy,storageclass,type
Kubernetes Service,containers-kube,k8s-cluster-prd,crn-mock-1,Standard Gen2,plan-1,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,720,33870,4838,29032,29032,false,0,,,false,,,2026-01-01T00:00:00Z,,,,,,,prd,,app-commerce,,,,,,
Databases for Elasticsearch,db-elastic,es-search-node,crn-mock-2,Standard Gen2,plan-2,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,GIGABYTE_HOURS,Gigabyte Hours,144000,32900,0,32900,32900,false,0,,,false,,,2026-01-15T00:00:00Z,,,,,,,prd,,search-engine,,,,,,
Virtual Server for VPC,is-instance,vsi-backend-01,crn-mock-3,Balanced Tier,plan-3,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,720,14516,1451,13065,13065,false,10,,,false,,,2026-02-01T00:00:00Z,,,,,,,prd,,backend,,,,,,
Virtual Server for VPC,is-instance,vsi-backend-02,crn-mock-4,Balanced Tier,plan-3,us-east,,rg-homolog,rg-id-2,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,720,11612,1935,9677,9677,false,16.6,,,false,,,2026-02-01T00:00:00Z,,,,,,,dev,,backend,,,,,,
Databases for Redis,db-redis,redis-cache-cluster,crn-mock-5,Standard Gen2,plan-4,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,720,6290,193,6097,6097,false,3,,,false,,,2026-03-01T00:00:00Z,,,,,,,prd,,cache,,,,,,
Security and Compliance Center Workload Protection,security-scc,scc-agent-global,crn-mock-6,Graduated Tier,plan-5,us-east,,,rg-security,rg-id-3,,,,,BRL,true,NODE_HOURS,Node Hours,21600,5612,0,5612,5612,false,0,,,false,,,2026-01-01T00:00:00Z,,,,,,,global,,security,,,,,,
Block Storage for VPC,is-volume,vol-db-data,crn-mock-7,General Purpose Gen2,plan-6,br-sao,,rg-producao,rg-id-1,,,,,BRL,true,GIGABYTE_HOURS,Gigabyte Hours,360000,5032,290,4742,4742,false,5.7,,,false,,,2026-01-01T00:00:00Z,,,,,,,prd,,database-storage,,,,,,
Direct Link Connect,direct-link,dx-cloud-hq,crn-mock-8,Standard DL,plan-7,br-sao,,rg-network,rg-id-4,,,,,BRL,true,CONNECTION_HOURS,Connection Hours,720,4645,0,4645,4645,false,0,,,false,,,2025-12-01T00:00:00Z,,,,,,,global,,network,,,,,,
Secrets Manager,secrets-mgr,vault-credentials,crn-mock-9,Standard Tier,plan-8,us-east,,rg-security,rg-id-3,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,720,2419,96,2323,2323,false,4,,,false,,,2026-01-10T00:00:00Z,,,,,,,global,,credentials,,,,,,
DNS Services,dns-svc,dns-zone-public,crn-mock-10,Standard Plan,plan-9,global,,rg-network,rg-id-4,,,,,BRL,true,ZONE_HOURS,Zone Hours,720,2409,0,2409,2409,false,0,,,false,,,2025-11-01T00:00:00Z,,,,,,,global,,network,,,,,,
Client VPN for VPC,vpn-server,vpn-developers,crn-mock-11,Standard Gen2,plan-10,br-sao,,rg-network,rg-id-4,,,,,BRL,true,INSTANCE_HOURS,Instance Hours,720,967,127,840,840,false,13.2,,,false,,,2026-04-01T00:00:00Z,,,,,,,dev,,remote-access,,,,,,
--this is the end of report--
