Account Level CSV for 2026-05
"Account Owner ID","Account Name","Billing Month","Currency Rate","Created Time","Version"
"mock-id-987654321","Global Tech Solutions Ltda.","2026-05",5.42,"2026-06-11T14:22:10.123Z","1.3"

"Entity ID","Entity Type","Entity Name"
"mock-enterprise-id","ENTERPRISE","Brasil Corporate Cloud"

"Subscription ID","CA","Type","Subscription Amount","Start","End","Credits Total","Credits Starting","Credits Used","Credits Balance","True Up"
"sub-active-pool-101","0075412983","SUBSCRIPTION",15200,"2025-08-15T00:00:00.000Z","2026-08-14T23:59:59.999Z",182400,120500.50,45300.20,75200.30,0
"sub-active-pool-102","0075844129","SUBSCRIPTION",8900,"2026-01-10T00:00:00.000Z","2027-01-09T23:59:59.999Z",106800,92400.00,12100.50,80299.50,0
"sub-active-pool-103","0075844129","SUBSCRIPTION",12400,"2026-03-01T00:00:00.000Z","2027-02-28T23:59:59.999Z",148800,148800.00,0.00,148800.00,0
"sub-active-pool-104","0075911024","SUBSCRIPTION",5500,"2026-04-01T00:00:00.000Z","2027-03-31T23:59:59.999Z",66000,61269.35,61269.35,0.00,0
"sub-active-pool-105","0075911024","SUBSCRIPTION",9450,"2026-04-01T00:00:00.000Z","2027-03-31T23:59:59.999Z",113400,85400.10,32100.90,53299.20,0

"Subscription ID","Type","Category","Overage"
"sub-active-pool-104","SUBSCRIPTION","PUBLIC_PLATFORM",32739.85

"Offer ID"
